Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,41.021000,-92.964000,180.000000,bottom
C2,0.1uF,C_0805_2012Metric,47.969249,-94.006749,135.000000,bottom
C3,0.1uF,C_0805_2012Metric,54.102000,-87.884000,135.000000,bottom
C4,22pF,C_0805_2012Metric,47.879000,-89.535000,45.000000,bottom
C5,22pF,C_0805_2012Metric,52.578000,-89.408000,135.000000,bottom
C6,1uF,C_0805_2012Metric,51.435000,-101.346000,180.000000,bottom
D1,D_Small,D_SOT-23_ANK_norm,45.262800,-68.707000,270.000000,bottom
D2,D_Small,D_SOT-23_ANK_norm,83.312000,-68.707000,270.000000,bottom
D3,D_Small,D_SOT-23_ANK_norm,121.412000,-68.707000,270.000000,bottom
D4,D_Small,D_SOT-23_ANK_norm,159.512000,-68.707000,270.000000,bottom
D5,D_Small,D_SOT-23_ANK_norm,197.739000,-68.707000,270.000000,bottom
D6,D_Small,D_SOT-23_ANK_norm,235.712000,-68.707000,270.000000,bottom
D7,D_Small,D_SOT-23_ANK_norm,254.762000,-72.644000,270.000000,bottom
D8,D_Small,D_SOT-23_ANK_norm,45.339000,-73.406000,90.000000,bottom
D9,D_Small,D_SOT-23_ANK_norm,88.074500,-88.265000,270.000000,bottom
D10,D_Small,D_SOT-23_ANK_norm,126.174500,-88.265000,270.000000,bottom
D11,D_Small,D_SOT-23_ANK_norm,164.338000,-88.265000,270.000000,bottom
D12,D_Small,D_SOT-23_ANK_norm,202.438000,-88.265000,270.000000,bottom
D13,D_Small,D_SOT-23_ANK_norm,240.538000,-88.265000,270.000000,bottom
D14,D_Small,D_SOT-23_ANK_norm,78.613000,-107.569000,270.000000,bottom
D15,D_Small,D_SOT-23_ANK_norm,97.663000,-107.569000,270.000000,bottom
D16,D_Small,D_SOT-23_ANK_norm,135.763000,-107.569000,270.000000,bottom
D17,D_Small,D_SOT-23_ANK_norm,173.863000,-107.569000,270.000000,bottom
D18,D_Small,D_SOT-23_ANK_norm,211.963000,-107.569000,270.000000,bottom
D19,D_Small,D_SOT-23_ANK_norm,252.222000,-107.569000,270.000000,bottom
D20,D_Small,D_SOT-23_ANK_norm,50.673000,-113.157000,90.000000,bottom
D21,D_Small,D_SOT-23_ANK_norm,82.804000,-113.157000,90.000000,bottom
D22,D_Small,D_SOT-23_ANK_norm,219.583000,-113.157000,90.000000,bottom
D23,D_Small,D_SOT-23_ANK_norm,254.793750,-113.157000,90.000000,bottom
D24,D_Small,D_SOT-23_ANK_norm,149.733000,-113.157000,90.000000,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,64.262000,-71.120000,0.000000,bottom
R1,5.1k,R_0805_2012Metric,53.086000,-58.521600,0.000000,bottom
R2,5.1k,R_0805_2012Metric,72.847200,-58.521600,180.000000,bottom
R3,22,R_0805_2012Metric,50.038000,-82.042000,270.000000,bottom
R4,22,R_0805_2012Metric,47.752000,-82.042000,270.000000,bottom
R5,10k,R_0805_2012Metric,64.389000,-90.932000,180.000000,bottom
R6,10k,R_0805_2012Metric,48.387000,-107.950000,90.000000,bottom
RESET,SW_Push,SW_SPST_TL3342,41.021000,-110.871000,0.000000,bottom
U1,ATmega32U2-AU,TQFP-32_7x7mm_P0.8mm,57.404000,-95.504000,45.000000,bottom
U2,SRV05-4,SOT-23-6,64.312800,-67.437000,180.000000,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,64.312800,-55.372000,0.000000,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,50.292000,-91.694000,45.000000,bottom
